description,category_a,category_b,category_c,category_d,category,description_clean,category_target
Please help create new platform-Chipset “AMD Richland”.,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統,Please help create new platform Cpset “AMD Richland”,4
"QITS -> Analysis -> Issue Type Solving Time  會出現錯誤: ""The ''STATUS'' parameter is missing a value """,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統,QITS    Analysis     Type Solving Time  會出現錯誤   The ''STATUS'' parameter is missing a value,4
QITS 建立外部帳號，外部帳號開通後，從 e-mail 提示的 URL 連 QITS 會出現伺服器錯誤  不知道是否跟操作環境有關，有 screenshot 可供參考,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統,QITS 建立外部帳號 外部帳號開通後 從 e mail 提示的 URL 連 QITS 會出現伺服器錯誤  不知道是否跟操作環境 有 screenshot 可供參考,4
LCBU-QITS 申請開通 Analysis 功能。  目前 LCBU-QITS 系統缺少 Analysis button 及功能，請協助 enable it，謝謝,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統,LCBU QITS 申請開通 Analysis 功能   目前 LCBU QITS 系統缺少 Analysis button 及功能 請協助 enable it,4
使ECN:E200510-0770尽快在268生效,SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP,使ECN E0 0770儘快在268生效,1
298   MM02   quanta PN#   Sales view  沒有maintain  quanta PN#: FAQN9001011    分機: 2649,SAP-2X8(QSMC),SD,Master Data,Sales view maintain,SAP,298   MM02   quanta PN    Sales view  沒有maintain  quanta PN   FAQN11      2649,1
"USER反應ECN已經到SAP168,但在SAP268還找不到資料,煩請相關同仁協助處理.",SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP,ECN已經到SAP168 但在SAP268還找不到資料 相關同仁,1
E200509-4814   FBS04001016应变为FR状态,SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP,E9 4814   FBS應變為FR狀態,1
"新增customer 資料,送出後看不到付款方式",SAP-2X8(QSMC),SD,Master Data,Customer issue,SAP,新增customer 資料 送出後看不到付款方式,1
希望使ECN：E200509-3959，E200510-0181 尽快在268生效,SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP,希望使ECN E9 9 E0 0181 儘快在268生效,1
"User 反應 218端BOM 用量不對,料號3123MMB00B5,請速連繫# 3158",SAP-2X8(QSMC),PP,ECN,ECN 未同步QSMC,SAP,218端BOM 用量 料號3123MMB00B5 請速連繫  3158,1
MRO系統 收料時出現錯誤。,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,資訊系統,MRO系統 收料時出現錯誤,4
"APP0247060 該同仁98100545 吳敏浩已離職,但無法回覆至非驗收狀態,煩請協助取消驗收,,謝謝!!",BPM平台系統,採購類相關服務,MRO採購系統(MRO2),關卡流程詢問,資訊系統,APP60 該同仁 吳敏浩已離職 但無法回覆至非驗收狀態 協助取消驗收,4
MRO2單無權限開啟。分機：213931,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),系統無法登入,資訊系統,MRO2單無權限開啟,4
MRO簽核金額  WEP PO下單金額 ，已先與WEBPO系統 Owner Detoun Chen做詢問但沒結果，開單請求協助，謝謝．  提供異常MRO單號::1800027021(PO no.:1710054610)及1600019395(PO no.:1910026171),BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,資訊系統,MRO簽核金額  WEP PO下單金額  已先與WEBPO系統 Owner Detoun Chen做詢問但沒 開單請求協助 .  提供異常MRO單號   PO no.  及 PO no.,4
key了發票無法儲存,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,資訊系統,key了發票無法儲存,4
在送出MRO申請單時，出現部門分攤比例不可大於100%，但實際加總為100%  分機：17292,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,資訊系統,在送出MRO申請單時 出現部門分攤比例不可大於100% 但實際加總為100%,4
"PO 1900083789已生成,但無法download及預覽內容.謝謝!",BPM平台系統,採購類相關服務,MRO採購系統(MRO2),關卡流程詢問,資訊系統,PO 已生成 但無法download及預覽內容.,4
"MRO APP0495106虽已签核完毕，但无法生成PO的问题,  請協助手動轉出PO.",BPM平台系統,採購類相關服務,MRO採購系統(MRO2),系統無法登入,資訊系統,MRO APP06雖已簽核完畢 但無法生成PO的問題   請協助手動轉出PO,4
"採購單號 APP0495106 , PO已經生成,但查不到PO資料. Thanks to your help in advance.",BPM平台系統,採購類相關服務,MRO採購系統(MRO2),關卡流程詢問,資訊系統,採購單號 APP06   PO已經生成 但查不到PO資料.  to your help in advance,4
因重覆多填一筆資料請協助抽單:  單號: APP0301514  EXT:11091,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,資訊系統,因重覆多填一筆資料請協助抽單   單號  APP14,4
該單號APP0191183 已簽核，但會計部門卻看不到這個單子已簽核，無法付款  煩請幫忙處理 #12516,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),關卡流程詢問,資訊系統,該單號APP83 已簽核 但會計部門卻看不到單子已簽核 無法付款,4
PO編號:1900076847  請幫忙修改發票費用申請稅額:  50000 稅額:2500  30000 稅額:1500  8000    稅額:400  5000    稅額:250,BPM平台系統,採購類相關服務,MRO採購系統(MRO2),相關操作詢問,資訊系統,PO編號   請幫忙修改發票費用申請稅額    稅額 2500   稅額 1500  8000    稅額 400  5000    稅額 250,4
"orcad所申請的電腦名稱與目前使用電腦名稱不同,不確定是不是這樣導致orcad無法使用",R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,無法取得License,資訊系統,orcad所申請的電腦名稱與目前使用電腦名稱 不確定是導致orcad無法使用,4
oracd出現error(error message: only use less than 60 components),R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,相關操作詢問,資訊系統,oracd出現error error message  only use less than 60 components,4
之前ORCAD 就常常因為帳號滿   每天要登入多次才能上去 大約花1-2小時   現在 要登入太困難 已經整整3天沒法登入   無法修改線路 案子嚴重延後   請幫忙解決,R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,無法取得License,資訊系統,之前ORCAD 就帳號滿   每天要登入 花1 2小時   現在 要登入太困難 已經整整3天沒法登入   無法修改線路 案子嚴重延後,4
"因我電腦重灌，原本是win7 32bit，現在是64bit，所以我重新安裝Orcad軟體，但我連上去一直出現""unable to contact license server""，在開檔案前我也有先連上SSLVPN，目前的我灌的版本是10.5版，我也是依照SOP來做，麻煩協助處理。",R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,無法取得License,資訊系統,因我電腦重灌 原本是win7 32bit 現在是64bit 我重新安裝Orcad軟體 但我連出現 unable to contact license server  在開檔案前我也有先連上SSLVPN 目前的我灌的版本是10.5版 我也是SOP來做,4
分機18475，要在my quanta上發布公告,R&D資訊系統,廣達入口網站【MyQuanta】,【SDA】SDA知識管理平台,資料上傳/下載問題詢問,資訊系統,要在my quanta上發布公告,4
"我無法使用Pro-E登入PDM WINDCHILL 的server,  我和其他同事確認過網址是http://myplm.quanta.corp/Winchill/ 是相同的.  但無論是用IE或是Pro-E都登不進去.",R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,相關操作詢問,資訊系統,我無法使用Pro E登入PDM WINDCLL 的server   我和同事過網址是 是相同的.  但是用IEPro E都登不進去,4
"急~~~我的Pro-E 4.0 無法開啟了, Pro-E訊息上告知是licensing error 26找不到.  請問是否Sever 有問題還是我本機設定有問題? 麻煩協助~~~~謝謝~",R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,軟體安裝與設定問題,資訊系統,急   我的Pro E 4.0 無法開啟了  Pro E訊息上告知是licensing error 26找不到.  請問是否Sever 有問題我本機設定有問題  協助,4
Or CAD 軟體常常當掉，每天幾乎都會當掉一次，當掉之後，就連不進去。  ext:13817,R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,相關操作詢問,資訊系統,Or CAD 軟體當掉 每天都會當掉一次 當掉之後 就連不進去,4
分機11288，autoCAD無法使用,R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,相關操作詢問,資訊系統,autoCAD無法使用,4
MYQUANTA無法登入,R&D資訊系統,廣達入口網站【MyQuanta】,【SDA】SDA知識管理平台,系統無法登入,資訊系統,MYQUANTA無法登入,4
分機15796，電腦重灌後需要重灌Orcad,R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,軟體安裝與設定問題,資訊系統,電腦重灌後需要重灌Orcad,4
分機15796，電腦重灌後需要重灌Orcad,R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,軟體安裝與設定問題,資訊系統,電腦重灌後需要重灌Orcad,4
ORCAD無法執行，出現ERROR(LMF-02004)的視窗。,R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,無法取得License,資訊系統,ORCAD無法執行 出現ERROR LMF  的視窗,4
昨晚開始一直無法開啟OrCAD，提示為無License權限，因線路設計在即，再煩請幫忙確認處理，感謝！,R&D資訊系統,設計相關服務,【Design Tool】Pro/E、OrCAD設計工具管理,無法取得License,資訊系統,昨晚無法開啟OrCAD 提示為無License權限 因線路設計在即 再,4
目前人在QSMC出差 需要查QSMC庫存  請幫忙遠端安裝SAP軟體  謝謝,SAP-2X8(QSMC),Basis,帳號,新申請,SAP,目前人在QSMC出差 需要查QSMC庫存  請幫忙遠端安裝SAP軟體,1
Password似乎有問題無法進SAP208，麻煩處理，謝謝！,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP,Password似乎有問題無法進SAP208,1
268在第二層LOGIN無法順利登入   分機:15820,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP,268在第二層LOGIN無法順利登入,1
sap 208 無法login,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP,sap 208 無法login,1
268 logon fail,SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP,268 logon fail,1
"同仁SAP 268顯示他帳號已經logon 無法再次login, 煩請協助處理",SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP,同仁SAP 268顯示他帳號已經logon 無法再次login,1
"MYQUANTA的內部應用看不到SAP Icon ,之前可以看.user目前人在大陸",SAP-2X8(QSMC),Basis,帳號,帳號無法使用,SAP,MYQUANTA的內部應用看不到SAP Icon  之前可以看.目前,1
"到My Quanta 內部應用系統,無法登入SAP~請幫忙",SAP-168(QCI),Basis,帳號,帳號無法使用,SAP,到My Quanta 內部應用系統 無法登入SAP 請幫忙,1
使用者已裝了cirtix，但無法在內部應用系統的網頁中看到SAP的icon,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP,已裝了cirtix 但無法在內部應用系統的網頁中看到SAP的icon,1
無法logon CSAP23,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP,無法logon CSAP23,1
user登入SAP後無法動作.,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP,登入SAP後無法動作,1
"SAP帳號87042501,無法登入，分機17727",SAP-168(QCI),Basis,帳號,帳號無法使用,SAP,SAP帳號 無法登入,1
密碼輸入錯誤被鎖住  請協助幫忙,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP,密碼輸入錯誤被鎖住  請協助幫忙,1
"欲新增SAP帳號, 詢問如何操作, #15732",SAP-168(QCI),Basis,帳號,新申請,SAP,欲新增SAP帳號  詢問操作,1
User無法使用原帳號、密碼登入，請MIS人員解決。分機#5327,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP,無法使用原帳號 密碼登入   5327,1
該user 要安裝SAP程式  請協助  分機 18829,SAP-168(QCI),Basis,帳號,新申請,SAP,該 要安裝SAP程式  請協助,1
帳號問題無法使用，使用者人在廣輝聯絡電話38318009,SAP-168(QCI),Basis,帳號,帳號無法使用,SAP,帳號問題無法使用 人在廣輝,1
user跑ZV14單筆去跑可以跑出sales org 但是跑background跑不出資料 請協助處理，之前已經在APP0001247反應過，請再確認是否已經處理完畢。,SAP-2X8(QSMC),SD,Sales Process,SO issue,SAP,跑ZV14單筆去跑可以跑出sales org 跑background跑不出資料  之前已經在APP47反應過 請再是否已經完畢,1
so fail VA01-Va03 fail,SAP-2X8(QSMC),SD,Sales Process,SO issue,SAP,so fail VA01 Va03 fail,1
BOI的，是用BAPI開SO有帶價格過去，但是在ZN26選了以SO當價格，還是抓不到價格,SAP-2X8(QSMC),SD,Sales Process,Billing issue,SAP,BOI的 是用BAPI開SO有帶價格過去 在ZN26選了以SO當價格 抓不到價格,1
sales BOM無法上傳到SAP。#12670,SAP-2X8(QSMC),SD,Sales Process,SO issue,SAP,sales BOM無法上傳到SAP,1
"user做SO change後按存檔,但系統顯示無法存檔,T-code:VA02",SAP-2X8(QSMC),SD,Sales Process,SO issue,SAP,做SO change後按存檔 但系統顯示無法存檔 T code VA02,1
"公司配發的電腦P12923, 實體記憶體只有4G, 可用記憶體只有不到3G, 每次開機後都被系統程式SVCHOST大量霸佔記憶體資源導致整台電腦運行極度緩慢, 嚴重影響工作, 處長指示須盡速解決問題",BPM平台系統,資訊類相關服務,19999問題單,相關操作詢問,資訊系統,公司配發的電腦P  實體記憶體4G  可用記憶體不到3G  每次開機後都被系統程式SVCHOST大量霸佔記憶體資源導致整台電腦運行緩慢  嚴重影響工作  處長指示須問題,4
"PPT報告無法插入PDF檔案  出現""找不到伺服器應用程式、來源檔案或項目，或是傳回未知的錯誤。可能需要重新安裝伺服器應用程式。""",BPM平台系統,資訊類相關服務,19999問題單,相關操作詢問,資訊系統,PPT報告無法插入PDF檔案  出現 找不到伺服器應用程式 來源檔案或項目 傳回未知的錯誤 需要重新安裝伺服器應用程式,4
Outlook聯絡人無法與OCS連結丟訊息！,BPM平台系統,資訊類相關服務,19999問題單,相關操作詢問,資訊系統,Outlook人無法與OCS連結丟訊息,4
"Jasmine Liao (廖雅美) 工號:10709026  無法登入MyBPM進行表單申請,請協助確認原因",BPM平台系統,資訊類相關服務,19999問題單,系統無法登入,資訊系統,Jasmine Liao  廖雅美     無法登入MyBPM進行表單申請 原因,4
#381-11674    BPM的零用金申請單無法使用.,BPM平台系統,管理類相關服務,零用金申請單,相關操作詢問,資訊系統,BPM的零用金申請單無法使用,4
11413 BPM會計零用金申請單 會跳出錯誤訊息(網路問題) 有點急,BPM平台系統,管理類相關服務,零用金申請單,系統無法登入,資訊系統,BPM會計零用金申請單 會跳出錯誤訊息 網路問題,4
Agile 無法更新無法開啟,BPM平台系統,資訊類相關服務,19999問題單,系統無法登入,資訊系統,Agile 無法更新無法開啟,4
PDM 系統無法閱讀文管相關文件,BPM平台系統,資訊類相關服務,19999問題單,相關操作詢問,資訊系統,PDM 系統無法閱讀文管相關文件,4
"員工自我發展計畫(IDP)通知：IDP結案無法簽核,出現亂碼",BPM平台系統,資訊類相關服務,19999問題單,系統無法登入,資訊系統,員工自我發展計畫 IDP 通知 IDP結案無法簽核 出現亂碼,4
Footprint簽核畫面無法正常瀏覽，錯誤碼如下:      ''/BPMPortal'' 應用程式中發生伺服器錯誤。    編譯錯誤   描述: 資源編譯無法完成 (錯誤發生於服務要求)。請檢閱下列的特定錯誤詳細資料，並視情況修改您的原始程式碼。     編譯器錯誤訊息: CS0433: ''c:\Windows\Microsoft.NET\Framework\v2.0.50727\Temporary ASP.NET Files\bpmportal\c7af72f1\ec03b1f5\App_Code.1zoyusbh.dll'' 和 ''c:\Windows\Microsoft.NET\Framework\v2.0.50727\Temporary ASP.NET Files\bpmportal\c7af72f1\ec03b1f5\App_Code.hwx6fm2d.dll'' 兩者中都有型別 ''IMaster''    原始程式錯誤:,BPM平台系統,資訊類相關服務,19999問題單,關卡流程詢問,資訊系統,Footprint簽核畫面無法正常瀏覽 錯誤碼       ''/BPMPortal'' 應用程式中發生伺服器錯誤     編譯錯誤   描述  資源編譯無法完成  錯誤發生於服務要求  請檢閱下列的特定錯誤詳細資料 並視情況修改您的原始程式碼      編譯器錯誤訊息  CS0433  ''c \Windows\Microsoft.NET\Framework\v2.0.\Temporary ASP.NET Files\bpmportal\c7af72f1\ec03b1f5\App_Code.1zoyusbh.dll'' 和 ''c \Windows\Microsoft.NET\Framework\v2.0.\Temporary ASP.NET Files\bpmportal\c7af72f1\ec03b1f5\App_Code.hwx6fm2d.dll'' 中都有型別 ''IMaster''    原始程式錯誤,4
QITS Analysis 期待新增一個圖表: Opened / Cloased Trend  X-Axis: Time (Day / Weekly / Month)  Y-Axis: Opened / Closed 數量,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統,QITS Analysis 期待新增一個圖表  Opened / Cloased Trend  X Axis  Time  Day / Weekly / Month   Y Axis  Opened / Closed 數量,4
"LCBU - QITS 的 ticket 有一個 button 叫做 ""Add Status""。請問是否等同 Add Comment 功能?  另外可否 Add Status 之後，讓系統自動發通知信? 謝謝",R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統,LCBU   QITS 的 ticket 有一個 button 叫做  Add Status  請問是否等同 Add Comment 功能   可否 Add Status 之後 讓系統自動發通知信,4
"以目前設計FOR SIT1 QITS的設計而言，""Platform found'' 欄位，在create new issue 時，一但按下了""save""之後，此欄位即成為不可變更內容的欄位  但內部memeber有遇到過不小心誤按了，save之後，發現這個欄位還有需要修正時  只能把issue disable掉重發一個新的issue    但這個欄位對我們issue的分類而言，可以幫助我們確認是哪個案子的issue  所以想要確認是否有機會把這個platform found 改為可重新modify的欄位",R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統,以目前設計FOR SIT1 QITS的設計  Platform found'' 欄位 在create new  時 一但按下了 save 之後 此欄位即成為不可變更內容的欄位  但內部memeber有遇到過不小心誤按了 save之後 發現欄位需要修正時  只能把 disable掉重發一個新的    但欄位對的分類 可以幫助是案子的  想是否有機會把platform found 改為可重新modify的欄位,4
"QITS 系統進入後，一點選""home"" 或是其它任何的功能鍵，皆會出現 ""''/CORE_QITS'' 應用程式中發生伺服器錯誤。"" 等錯誤訊息  無法使用",R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統,QITS 系統進入後 一點選 home  的功能鍵 皆會出現  ''/CORE_QITS'' 應用程式中發生伺服器錯誤   等錯誤訊息  無法使用,4
QITS無法登入!!  都會直接顯示找不到此工號,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統,QITS無法登入    都會直接顯示找不到此,4
Pls help crate in QITS sys in “ platfrom-chipset “ side : Rockchip RK3288,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統,Pls help crate in QITS sys in “ platfrom cpset “ side   Rockcp RK3288,4
ZQ0/ZQ0B_BDW 專案無法啟用,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統,ZQ0/ZQ0B_BDW 專案無法啟用,4
crate ZAT&ZAY project name 點選Start出現錯誤,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統,crate ZAT ZAY project name 點選Start出現錯誤,4
"NB4 & NB7 一起合作NB4 Z8A 這個案子, 請幫忙讓nb7 RD 從QITS系統上看到issue, 謝謝  NB7 RD Eric Lai (賴博文) / Joe Chen (陳昱宏)/ Andy Wang (王信智)",R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統,NB4   NB7 一起合作NB4 Z8A 案子  請幫忙讓nb7 RD 從QITS系統上看到    NB7 RD Eric Lai  賴博文  / Joe Chen  陳昱宏 / Andy Wang  王信智,4
"請幫忙評估是否可以在 Assign verify 的人員選單那邊, 新增QCMC人員 英文名字搜尋",R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統,請幫忙評估是否可以在 Assign verify 的人員選單  新增QCMC人員 英文名字搜尋,4
Assign Owner頁面新增QCMC Mail cc選項,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統,Assign Owner頁面新增QCMC Mail cc選項,4
"沒辦法看到一開始發issue 的人是誰, 需要等到退issue的時候, 才能知道  名字顯示都是""Tester""  造成issue Tracking 時的困擾, 沒辦法知道開bug的人是誰,  (QCMC 那邊開的issue)    例如:  http://citrixgw/CORE_QITS/PROGRAM/ITS_Issue_Form.aspx?APPLID=BLY-0118",R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統,沒辦法看到一發 的人是誰  需要退的  知道  名字顯示都是 Tester   造成 Tracking 時的困擾  沒辦法知道開bug的人是誰    QCMC 開的,4
新增2015年AMD 平台入QITS,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統,新增2015年AMD 平臺入QITS,4
增加 Intel Braswell  平台在QITS選項,R&D資訊系統,測試相關服務,【QITS】研發議題追蹤系統,相關操作詢問,資訊系統,增加 InBraswell  平臺在QITS選項,4
